,title,type,date_added,Action & Adventure,Anime,International,Family,Classic,Comedy,Crime,Cult,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,LGBTQ,Music,Reality,Romantic,Sci-Fi & Fantasy,Science & Nature,Sports,Mystery,Thriller,Teen,mean_price,averageRating
147,Sweet Girl,Movie,2021-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.5
148,The Chair,TV Show,2021-08-20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,9.1
149,The Loud House Movie,Movie,2021-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.884540904652,6.0
150,A Faraway Land,Movie,2021-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.0
151,Like Crazy,Movie,2021-08-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.6
152,Black Island,Movie,2021-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,529.884540904652,5.2
153,Bombay,Movie,2021-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,8.1
154,Go! Go! Cory Carson,TV Show,2021-08-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.9
155,Memories of a Murderer: The Nilsen Tapes,Movie,2021-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.3
156,O Kadhal Kanmani,Movie,2021-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.4
157,The Defeated,TV Show,2021-08-18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.7
158,The Secret Diary of an Exchange Student,Movie,2021-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.4
159,Mother Goose Club,TV Show,2021-08-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.3
